"undefined",27126,24524,2602
"Андрей (Болконский, Andre)",3049,2880,169
"Наташа",1922,1915,7
"Пьер",1843,1773,70
"Николай (Nicolas, Ростов)",1379,1370,9
"Билибин",973,781,192
"Василий",934,827,107
"Анна Михайловна",647,547,100
"Анна Павловна",559,367,192
"Васька Денисов (Денисов)",548,536,12
"Марья",484,390,94
"Берг",461,461,0
"Борис",461,413,48
"Долохов",437,431,6
"Анатоль",419,393,26
"Кутузов",370,368,2
"Марья Дмитриевна",361,361,0
"Соня",322,317,5
"Долгоруков",257,246,11
"Вера",235,225,10
"Несвицкий",222,222,0
"Элен (Helene)",207,126,81
"Шиншин",192,132,60
"Перонская",126,115,11
"Ростопчин",110,95,15
"Николай Андреевич (Николай Андреич)",107,107,0
"Балага",106,106,0
"Петя",98,98,0
"Жерков",93,93,0
"Тушин",91,91,0
"Илагин",80,80,0
"Bourienne",78,23,55
"Ипполит",76,25,51
"Наполеон",70,42,28
"Вилларский",65,65,0
"Багратион",62,62,0
"Сперанский",57,57,0
"Аракчеев",54,54,0
"Лиза",51,43,8
"Семен",49,49,0
"Телянин",47,47,0
"Илья Андреич",42,42,0
"Лаврушка",37,37,0
"Иогель",34,14,20
"МorteMariet",29,0,29
"Кочубей",27,27,0
"Марья Богдановна",27,27,0
"Дуняша",26,26,0
"Michel Ivanoff",22,9,13
"Мортемар",22,8,14
"Тимохин",21,21,0
"Александр",20,9,11
"Козловский",20,20,0
"Митенька",20,20,0
"Ланжерон",18,18,0
"Лоррен",18,0,18
"Вейротер",17,17,0
"Смольянинов",17,17,0
"Marieiages",15,5,10
"Франц",14,0,14
"Иванушка",12,12,0
"Диммлер",11,11,0
"Тихон",11,11,0
"Ларрей",10,0,10
"Пелагея Даниловна (Мелюкова)",10,10,0
"Репнин",10,9,1
"Жюли",9,0,9
"Прокофий",9,9,0
"Бурьен",8,0,8
"Кирстен",8,8,0
"Матреша",8,8,0
"Милорадович",7,7,0
"Мавруша",6,6,0
"Сухтелен",5,5,0
"Настасья Ивановна",4,4,0
"Пелагеюшка",4,4,0
"Сидоров",4,4,0
"Данила",3,3,0
"Миша",3,3,0
"Фока",3,3,0
"Антон",1,1,0
